"Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"Pretoria Campus","Computer Science","I am a developer by profession","Developer, desktop or enterprise applications","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;JavaScript;PHP;TypeScript","Elasticsearch;H2;MariaDB;Microsoft SQL Server;MongoDB;MySQL","Amazon Web Services (AWS);Cloudflare;Digital Ocean","Laravel;Nuxt.js;Vue.js","Financial Services","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed"
"Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript","PostgreSQL","Digital Ocean;Google Cloud","Angular;Django;Node.js;Spring Boot","Wholesale","Bing AI;ChatGPT","AWS CodeWhisperer;Replit Ghostwriter;Tabnine","Employed, full-time;Independent contractor, freelancer, or self-employed"
"Mbombela Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Java;Python;SQL;TypeScript","Microsoft SQL Server;MySQL;SQLite","Firebase","Angular","Other","ChatGPT","Adrenaline;Codeium;GitHub Copilot","Employed, full-time"
"Pretoria Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;SQL","Cosmos DB;Microsoft SQL Server","Microsoft Azure","ASP.NET CORE;Blazor","Legal Services","Bing AI;ChatGPT","AWS CodeWhisperer;GitHub Copilot;Mintlify","Employed, full-time"
"Mbombela Campus","IT","I am a developer by profession","Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript;Objective-C;Swift","Firebase Realtime Database;SQLite","Amazon Web Services (AWS);Digital Ocean;Firebase;OpenShift;OpenStack","NestJS;Next.js;Node.js","Manufacturing, Transportation, or Supply Chain","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine","Employed, full-time"
"Mbombela Campus","Computer Science","I am a developer by profession","Blockchain","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Assembly;C;HTML/CSS;JavaScript;Solidity;SQL","PostgreSQL","Scaleway","React","Healthcare","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Independent contractor, freelancer, or self-employed"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;JavaScript;Python","InfluxDB;MariaDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Microsoft Azure;OVH","FastAPI;Flask;React;WordPress","Manufacturing, Transportation, or Supply Chain","ChatGPT","Adrenaline","Employed, full-time"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, desktop or enterprise applications","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","C#;Java;VBA;Visual Basic (.Net)","Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL;SQLite","Amazon Web Services (AWS)","Blazor","Advertising Services","ChatGPT;Phind","AWS CodeWhisperer;GitHub Copilot;Tabnine;Whispr AI","Employed, full-time"
"Nelson Mandela Bay Campus","IT","I am a developer by profession","DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;TypeScript","Cassandra;Elasticsearch;PostgreSQL","Amazon Web Services (AWS);Microsoft Azure;Netlify;OpenShift","Spring Boot;Vue.js","Manufacturing, Transportation, or Supply Chain","ChatGPT;Perplexity AI","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"Mbombela Campus","Data Science","I am a developer by profession","Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C++;Go;HTML/CSS;Python;Rust;SQL;TypeScript","Cockroachdb;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Google Cloud;Microsoft Azure","Express;Svelte","Other","ChatGPT","Favorable","Employed, full-time"
"Durban Campus","IT","I am a developer by profession","Blockchain","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;C++","MongoDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Cloudflare","Django;Flask","Oil & Gas","Andi","Adrenaline;Mintlify","Employed, full-time"
"Vanderbijlpark Campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;Ruby;SQL","Neo4J","Amazon Web Services (AWS)","Drupal;WordPress","Retail and Consumer Services","ChatGPT;WolframAlpha","Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"Mbombela Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;Python;SQL","Dynamodb;MySQL;PostgreSQL","Amazon Web Services (AWS)","Angular;Express;Node.js;Spring Boot","Other","ChatGPT","GitHub Copilot","Employed, full-time"
"Durban Campus","Computer Science","I am a developer by profession","Developer, QA or test","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Python","MongoDB;SQLite","Firebase","Flask;React","Financial Services","ChatGPT","Tabnine;Whispr AI","Not employed, but looking for work"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Lua;Python;Rust;SQL;Swift;TypeScript","Dynamodb;PostgreSQL;SQLite;Supabase","Amazon Web Services (AWS);Cloudflare;Digital Ocean","React;Spring Boot","Other","ChatGPT","GitHub Copilot;Synk Code","Employed, full-time;Student, part-time"
"Durban Campus","Data Science","I am learning to code","Student","Some college/university study without earning a degree","HTML/CSS;JavaScript;Python;Ruby","MySQL;PostgreSQL","Google Cloud;Netlify;Render","Next.js;Node.js;React","Other","Bing AI;ChatGPT","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Not employed, but looking for work"
"Mbombela Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript","InfluxDB;Microsoft SQL Server;MySQL;PostgreSQL","Cloudflare;Hetzner","Express;Fastify;Next.js;Node.js;React;Symfony","Oil & Gas","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter;Rubber Duck.AI;Tabnine","Employed, full-time"
"Pretoria Campus","IT","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;SQL;TypeScript","PostgreSQL","Amazon Web Services (AWS)","AngularJS;Node.js;React","Financial Services","ChatGPT;Phind","Rubber Duck.AI;Tabnine","Employed, full-time"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Something else","C;Go;HTML/CSS;Java;JavaScript;PHP;SQL","MariaDB;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Hetzner;VMware","Angular;AngularJS;Express;Fastify;jQuery;Next.js;Node.js;React;Vue.js","Healthcare","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Tabnine;Whispr AI","Independent contractor, freelancer, or self-employed;Student, part-time"
"Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript","PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean;Google Cloud;VMware","Angular;Django;Node.js","Financial Services","Bing AI;ChatGPT","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time"
"Pretoria Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;TypeScript","PostgreSQL","Linode, now Akamai;Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;React","Advertising Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI","Employed, full-time"
"Durban Campus","IT","I am a developer by profession","Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Dart;Java;Python","Cloud Firestore;Firebase Realtime Database;MongoDB;MySQL;PostgreSQL;Supabase","Amazon Web Services (AWS);Digital Ocean;Firebase;Heroku;Vercel","ASP.NET CORE;Play Framework;Spring Boot;WordPress","Retail and Consumer Services","ChatGPT;WolframAlpha","AWS CodeWhisperer;Replit Ghostwriter;Tabnine","Employed, full-time"
"Durban Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","DevOps specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;Java;PowerShell;SQL;Visual Basic (.Net)","Cloud Firestore;Elasticsearch;Microsoft Access;Microsoft SQL Server;MySQL;Neo4J;Oracle","Amazon Web Services (AWS);Microsoft Azure;VMware","Angular;AngularJS;ASP.NET;ASP.NET CORE","Legal Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Tabnine;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time"
"Nelson Mandela Bay Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, QA or test","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C++;HTML/CSS;Java;JavaScript;Kotlin;SQL","H2;PostgreSQL;SQLite","Digital Ocean;Hetzner;Microsoft Azure","jQuery;Spring Boot","Financial Services","ChatGPT","AWS CodeWhisperer;Rubber Duck.AI","Employed, full-time"
"Mbombela Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;TypeScript","Elasticsearch;MongoDB;PostgreSQL","Amazon Web Services (AWS);Google Cloud","Angular;Node.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Java;SQL","Oracle;PostgreSQL","Amazon Web Services (AWS);Digital Ocean","AngularJS;React","Oil & Gas","ChatGPT","GitHub Copilot;Whispr AI","Employed, full-time"
"Durban Campus","Data Science","I am a developer by profession","Data scientist or machine learning specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Go;Groovy;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL;TypeScript","Cloud Firestore;Elasticsearch;Firebase Realtime Database;Microsoft SQL Server;MySQL;PostgreSQL","Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;OpenShift;VMware","Express;jQuery;Node.js","Legal Services","ChatGPT","GitHub Copilot;Mintlify","Employed, full-time;Independent contractor, freelancer, or self-employed"
"Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;Groovy;Java;PowerShell;TypeScript","Cosmos DB;Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL","Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;React;Spring Boot","Financial Services","ChatGPT","Adrenaline","Employed, full-time"
"Pretoria Campus","Computer Science","I am a developer by profession","Product manager","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Bash/Shell (all shells);C;C#;HTML/CSS;Java;JavaScript;Python;SQL","Elasticsearch;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL","Amazon Web Services (AWS);Microsoft Azure","jQuery;Node.js;Spring Boot","Information Services, IT, Software Development, or other Technology","ChatGPT","GitHub Copilot;Synk Code;Whispr AI","Employed, full-time"
"Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript","MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Google Cloud","jQuery;Laravel;Symfony;Vue.js","Other","Bing AI;ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI","Employed, full-time"
"Vanderbijlpark Campus","Computer Science","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","C;C++;HTML/CSS;JavaScript","PostgreSQL","Colocation;Hetzner","Django","Advertising Services","ChatGPT;WolframAlpha","AWS CodeWhisperer;GitHub Copilot","Employed, full-time"
"Pretoria Campus","Computer Science","I am a developer by profession","Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C++;Dart;Java;JavaScript;Python;SQL;Swift;TypeScript","MongoDB;MySQL;Oracle;PostgreSQL;SQLite","Firebase;Google Cloud;Heroku;Render","Express;Node.js;React","Legal Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Tabnine","Employed, full-time"
"Mbombela Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Java;SQL","Microsoft SQL Server;Oracle;PostgreSQL","Digital Ocean","Angular","Oil & Gas","ChatGPT","AWS CodeWhisperer;Codeium;Tabnine;Whispr AI","Employed, full-time"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;R;SQL","MariaDB;Microsoft SQL Server;MySQL;Redis;Solr","Cloudflare;Microsoft Azure","jQuery;Lit;Next.js;React;Spring Boot","Information Services, IT, Software Development, or other Technology","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Tabnine;Whispr AI","Employed, full-time"
"Vanderbijlpark Campus","Computer Science","I am a developer by profession","Research & Development role","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Dart;Python;TypeScript","Dynamodb;Firebase Realtime Database;PostgreSQL;SQLite","Amazon Web Services (AWS);Firebase","Django;React","Insurance","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify","Employed, full-time;Independent contractor, freelancer, or self-employed"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Assembly;Bash/Shell (all shells);C;C++;Delphi;HTML/CSS;Java;JavaScript;PHP;PowerShell;Prolog;Python;R;SAS;Scala;SQL","H2;IBM DB2;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL","Amazon Web Services (AWS);Heroku;VMware","jQuery;Node.js;Spring Boot","Advertising Services","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI","Employed, full-time"
"Durban Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer Advocate","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript","MongoDB;PostgreSQL;SQLite","Digital Ocean;Heroku;Microsoft Azure;Vercel","Express;Fastify;Flask;Gatsby;NestJS;Next.js;Node.js;Nuxt.js;React;Svelte;Vue.js","Advertising Services","ChatGPT","Codeium;GitHub Copilot;Synk Code","Employed, full-time"
"Mbombela Campus","Data Science","I am a developer by profession","Developer, full-stack","Something else","HTML/CSS;JavaScript;PHP;SQL","MariaDB;MySQL","Amazon Web Services (AWS)","jQuery;Symfony;WordPress","Retail and Consumer Services","ChatGPT","GitHub Copilot;Mintlify;Replit Ghostwriter","Employed, full-time"
"Mbombela Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript","Firebase Realtime Database;MariaDB;Microsoft SQL Server;MySQL","Firebase","Angular;CodeIgniter;jQuery;Node.js;Spring Boot","Oil & Gas","Bing AI;ChatGPT;Perplexity AI","Adrenaline;GitHub Copilot;Rubber Duck.AI","Employed, full-time"
"Vanderbijlpark Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C#;PowerShell;Python;R;SQL","Microsoft SQL Server","Microsoft Azure","ASP.NET CORE;Flask","Higher Education","ChatGPT;WolframAlpha","Mintlify","Employed, full-time"
"Vanderbijlpark Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C;Java;JavaScript;Python;Ruby;TypeScript","InfluxDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Hetzner;OpenShift;OpenStack;OVH","Angular;Node.js;Ruby on Rails;Spring Boot","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time;Independent contractor, freelancer, or self-employed"
"Nelson Mandela Bay Campus","IT","I am a developer by profession","Data scientist or machine learning specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C;Lua;MATLAB;PowerShell;Zig","Microsoft SQL Server","Digital Ocean;Google Cloud;Microsoft Azure;Render","Deno;React;Svelte;Vue.js","Higher Education","Bing AI;ChatGPT;WolframAlpha","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify","Independent contractor, freelancer, or self-employed;Student, part-time"
